id_shop,title,stars,id_user,text
CS001,Historia Coffee & Eatery,5,U0001,"Saya sangat suka kafe ini, suasananya nyaman. Haha, dan kopinya juga enak sekali."
CS001,Historia Coffee & Eatery,5,U0002,Lezat Bertemu Jeritan
CS001,Historia Coffee & Eatery,5,U0003,Yummy bangett
CS001,Historia Coffee & Eatery,5,U0004,yummy & cozy
CS001,Historia Coffee & Eatery,5,U0005,yummy
CS001,Historia Coffee & Eatery,5,U0006,Yummy
CS001,Historia Coffee & Eatery,5,U0007,yg lagi cari cafe atau tempat nongki atau nugass disni enak banget
CS001,Historia Coffee & Eatery,5,U0008,Yang pasti kerennnnnn sihhh
CS001,Historia Coffee & Eatery,4,U0009,Y
CS001,Historia Coffee & Eatery,5,U0010,"Wroth itu, tiap ke garut pasti mampir,. Menunnya jg enak enak, real pict jg."
CS001,Historia Coffee & Eatery,5,U0011,Wow udang nya enak banget
CS001,Historia Coffee & Eatery,5,U0012,Wortit makanan & minuman nya.gk ngecewain padahal cafe baru tempat nya aestetik
CS001,Historia Coffee & Eatery,5,U0013,worth to try!! apalagi untuk laptopan
CS001,Historia Coffee & Eatery,5,U0014,Worth the priceee! The ambience is very peaceful. Yg paling mantep tuh fasilitasnya oke bangetzzzzz. Cocok buat nugas juga
CS001,Historia Coffee & Eatery,5,U0015,"Worth the price, tempatnya juga nyaman."
CS001,Historia Coffee & Eatery,5,U0016,Worth it to try guys
CS001,Historia Coffee & Eatery,5,U0017,Worth it to buy!✨
CS001,Historia Coffee & Eatery,5,U0018,worth it tida mengecewakan
CS001,Historia Coffee & Eatery,5,U0019,worth it harga dengan rasa dan tempatnya
CS001,Historia Coffee & Eatery,5,U0020,Worth it dan affordable untuk kalangan remaja dan mahasiswa. Pelayanan nya ramah
CS001,Historia Coffee & Eatery,4,U0021,Worth it cuman minus menu kopinya kurang kerasa kebanyakan gula sama bising dari jalan jadi lagu yang di play buat suasana didalem ruangannya kurang ke denger sih
CS001,Historia Coffee & Eatery,5,U0022,worth it bgt makanan minuman enak tempat cozy
CS001,Historia Coffee & Eatery,5,U0023,worth it
CS001,Historia Coffee & Eatery,5,U0024,Wort it sih buat di garut
CS001,Historia Coffee & Eatery,5,U0025,Wort it buat nge bucinnn
CS001,Historia Coffee & Eatery,5,U0026,Wiiiih... Nyaman syekaliii
CS001,Historia Coffee & Eatery,5,U0027,"What a good experience, pertama kali kesini but a good service and everything all good"
CS001,Historia Coffee & Eatery,5,U0028,"WELLLLLL,I LOVE THE VIBES IN HERE

kasir nya cantik"
CS001,Historia Coffee & Eatery,5,U0029,Well pokonamah
CS001,Historia Coffee & Eatery,5,U0030,Well
CS001,Historia Coffee & Eatery,5,U0031,Well
CS001,Historia Coffee & Eatery,5,U0032,wel pokonamah
CS001,Historia Coffee & Eatery,5,U0033,Wawww makanannya enak sekali rekomended minumannya ughhh mantapp servicenya excelent
CS001,Historia Coffee & Eatery,5,U0034,wawww bagus banget enak banget makanan nya mantap
CS001,Historia Coffee & Eatery,5,U0035,Waw ada yang baru nih✨
